State,Congressional District ID,Congressional District Name,Number,Percent,Number,Percent
California,627,Congressional District 27,72768,0.102952413260937,172572,0.244155451655388
Texas,4802,Congressional District 2,78141,0.102830499410629,175050,0.230358958244324
Texas,4821,Congressional District 21,81445,0.102772310376167,176396,0.222587317228317
California,612,Congressional District 12,78265,0.102408930659294,152016,0.198911339044571
California,638,Congressional District 38,72529,0.102310590445995,175487,0.247544825077057
Nevada,3202,Congressional District 2,72356,0.102035604417324,181790,0.256358176469803
New York,3612,Congressional District 12,70634,0.101910702884197,126034,0.181841790676117
California,650,Congressional District 50,76067,0.101901464164257,179657,0.240673512220383
Florida,1223,Congressional District 23,76219,0.101703032851219,188007,0.250867664813995
Nebraska,3102,Congressional District 2,66465,0.101583704352379,159797,0.244230374693871
Florida,1218,Congressional District 18,77327,0.101109988987446,199944,0.261439561843872
Florida,1216,Congressional District 16,81207,0.101032130420208,205554,0.25573605298996
New Jersey,3401,Congressional District 1,72432,0.100732631981373,154404,0.214732736349106
Texas,4806,Congressional District 6,78581,0.100507393479347,189461,0.242326140403748
Rhode Island,4402,Congressional District 2,50354,0.100387163460255,107685,0.214683875441551
Georgia,1307,Congressional District 7,80273,0.100272811949253,198795,0.248324275016785
Illinois,1703,Congressional District 3,71427,0.0998614504933357,177657,0.248380661010742
New York,3617,Congressional District 17,72518,0.0995612144470215,150182,0.206187456846237
Alabama,106,Congressional District 6,68481,0.0994920879602432,167139,0.242826595902443
Pennsylvania,4204,Congressional District 4,70327,0.099342867732048,156760,0.221436828374863
Maryland,2406,Congressional District 6,74995,0.0988951995968819,160402,0.211520612239838
California,639,Congressional District 39,72068,0.0987950190901756,146377,0.20066212117672
Connecticut,905,Congressional District 5,69364,0.0986835807561874,136504,0.194203093647957
Washington,5302,Congressional District 2,71964,0.0983732938766479,148183,0.202563092112541
Ohio,3905,Congressional District 5,68479,0.0981168672442436,162199,0.232399091124535
California,611,Congressional District 11,74270,0.0980764999985695,159548,0.210689499974251
Georgia,1311,Congressional District 11,74186,0.0980678796768188,162557,0.21488718688488
Missouri,2903,Congressional District 3,75531,0.098044715821743,163879,0.212726816534996
Utah,4903,Congressional District 3,73686,0.0980188995599747,176527,0.234820485115051
California,605,Congressional District 5,70648,0.097706563770771,144875,0.200362905859947
Nevada,3203,Congressional District 3,77493,0.0968967750668526,164698,0.205937370657921
Michigan,2610,Congressional District 10,68042,0.096344567835331,156407,0.22146563231945
California,648,Congressional District 48,69188,0.0963067188858986,155853,0.216940671205521
Texas,4812,Congressional District 12,75866,0.0959418267011642,192335,0.243231102824211
Washington,5307,Congressional District 7,72083,0.0957899615168571,124625,0.165612190961838
Florida,1204,Congressional District 4,74726,0.0954213663935661,154198,0.196903139352798
Colorado,807,Congressional District 7,75076,0.0952109172940254,175607,0.222703710198402
California,630,Congressional District 30,71602,0.093815304338932,157904,0.206891044974327
Utah,4901,Congressional District 1,70790,0.0937629565596581,178175,0.235996812582016
California,604,Congressional District 4,68745,0.0934428870677948,137302,0.186630234122276
Illinois,1718,Congressional District 18,63264,0.0932236611843109,142716,0.210301399230957
California,626,Congressional District 26,67005,0.0929635986685753,165800,0.230033054947853
New Jersey,3404,Congressional District 4,69183,0.0924512147903442,138700,0.185348764061928
California,645,Congressional District 45,69904,0.0911368876695633,124589,0.162432104349136
Washington,5308,Congressional District 8,68156,0.0908681228756905,145950,0.194585993885994
Connecticut,904,Congressional District 4,65772,0.0906575992703438,149330,0.205830752849579
California,619,Congressional District 19,68883,0.0905425995588303,157520,0.207050651311874
Virginia,5102,Congressional District 2,63794,0.0905123353004456,139188,0.197483003139496
Wisconsin,5508,Congressional District 8,64857,0.0904747396707535,160560,0.223979294300079
Illinois,1708,Congressional District 8,63945,0.0904631987214088,161146,0.227973774075508
Ohio,3914,Congressional District 14,63533,0.089155986905098,144517,0.202800989151001
Texas,4831,Congressional District 31,74559,0.089023120701313,165869,0.198046863079071
Massachusetts,2509,Congressional District 9,65165,0.0889952629804611,143712,0.196266204118729
Iowa,1903,Congressional District 3,72814,0.0889901891350746,184086,0.224982127547264
Pennsylvania,4212,Congressional District 12,59993,0.088907890021801,141383,0.209525510668755
New York,3618,Congressional District 18,62679,0.0888208374381065,133533,0.189226269721985
Wisconsin,5506,Congressional District 6,61017,0.0882583931088448,149148,0.215735986828804
Colorado,804,Congressional District 4,70466,0.0881988108158112,174232,0.218077585101128
South Carolina,4501,Congressional District 1,67997,0.0880116373300552,170141,0.220221310853958
Oregon,4101,Congressional District 1,72682,0.0874291062355042,171333,0.206096291542053
